time(second),IR,RED,,,,,,,,,
12.64,217111,229304,,,,,,,,,
12.66,216953,229377,,,,,,,,,
12.68,217006,229383,,,,,,,,,
12.7,217154,229463,,,,,,,,,
12.72,216981,229549,,,,,,,,,
12.74,217028,229718,,,,,,,,,
12.76,217229,229613,,,,,,,,,
12.78,217137,229699,,,,,,,,,
12.8,217107,229885,,,,,,,,,
12.82,217282,229813,,,,,,,,,
12.84,217183,229908,,,,,,,,,
12.86,217190,229956,,,,,,,,,
12.88,217377,230006,,,,,,,,,
12.9,217201,230085,,,,,,,,,
12.92,217246,230188,,,,,,,,,
12.94,217393,229955,,,,,,,,,
12.96,217193,229811,,,,,,,,,
12.98,217116,229613,,,,,,,,,
13,217203,229402,,,,,,,,,
13.02,217005,229219,,,,,,,,,
13.04,216932,229177,,,,,,,,,
13.06,217048,228895,,,,,,,,,
13.08,216859,228805,,,,,,,,,
13.1,216767,228771,,,,,,,,,
13.12,216896,228573,,,,,,,,,
13.14,216773,228545,,,,,,,,,
13.16,216780,228542,,,,,,,,,
13.18,216830,228589,,,,,,,,,
13.2,216798,228629,,,,,,,,,
13.22,216910,228636,,,,,,,,,
13.24,216811,228663,,,,,,,,,
13.26,216846,228688,,,,,,,,,
13.28,216831,228676,,,,,,,,,
13.3,216924,228679,,,,,,,,,
13.32,216843,228695,,,,,,,,,
13.34,216930,228752,,,,,,,,,
13.36,216803,228845,,,,,,,,,
13.38,216995,228828,,,,,,,,,
13.4,216882,228871,,,,,,,,,
13.42,216946,228863,,,,,,,,,
13.44,216908,229004,,,,,,,,,
13.46,216972,229023,,,,,,,,,
13.48,217000,229031,,,,,,,,,
13.5,216983,229191,,,,,,,,,
13.52,217138,229171,,,,,,,,,
13.54,216971,229253,,,,,,,,,
13.56,217047,229233,,,,,,,,,
13.58,217191,229334,,,,,,,,,
13.6,217026,229328,,,,,,,,,
13.62,217126,229448,,,,,,,,,
13.64,217159,229500,,,,,,,,,
13.66,217091,229562,,,,,,,,,
13.68,217191,229627,,,,,,,,,
13.7,217198,229709,,,,,,,,,
13.72,217183,229722,,,,,,,,,
13.74,217263,229802,,,,,,,,,
13.76,217330,229868,,,,,,,,,
13.78,217233,229941,,,,,,,,,
13.8,217317,229967,,,,,,,,,
13.82,217406,230030,,,,,,,,,
13.84,217296,230125,,,,,,,,,
13.86,217381,230127,,,,,,,,,
13.88,217461,230227,,,,,,,,,
13.9,217342,230303,,,,,,,,,
13.92,217447,230359,,,,,,,,,
13.94,217599,230405,,,,,,,,,
13.96,217425,230375,,,,,,,,,
13.98,217437,230368,,,,,,,,,
14,217539,230016,,,,,,,,,
14.02,217304,229801,,,,,,,,,
14.04,217216,229501,,,,,,,,,
14.06,217288,229346,,,,,,,,,
14.08,217061,229205,,,,,,,,,
14.1,217041,229146,,,,,,,,,
14.12,217140,228851,,,,,,,,,
14.14,217010,228744,,,,,,,,,
14.16,216914,228742,,,,,,,,,
14.18,217054,228499,,,,,,,,,
14.2,216899,228474,,,,,,,,,
14.22,216932,228493,,,,,,,,,
14.24,216910,228557,,,,,,,,,
14.26,216955,228551,,,,,,,,,
14.28,216932,228563,,,,,,,,,
14.3,216967,228559,,,,,,,,,
14.32,216937,228553,,,,,,,,,
14.34,216970,228580,,,,,,,,,
14.36,216934,228538,,,,,,,,,
